Fed Funds,Close
3.02,3370.81
3.03,3435.11
3.07,3427.55
2.96,3527.43
3,3516.08
3.04,3539.47
3.06,3651.25
3.03,3555.12
3.09,3680.59
2.99,3683.95
3.02,3754.09
2.96,3978.36
3.05,3832.02
3.25,3635.96
3.34,3681.69
3.56,3758.37
4.01,3624.96
4.25,3764.5
4.26,3913.42
4.47,3843.19
4.73,3908.12
4.76,3739.23
5.29,3834.44
5.45,3843.86
5.53,4011.05
5.92,4157.69
5.98,4321.27
6.05,4465.14
6.01,4556.1
6,4708.47
5.85,4610.56
5.74,4789.08
5.8,4755.48
5.76,5074.49
5.8,5117.12
5.6,5395.3
5.56,5485.62
5.22,5587.14
5.31,5569.08
5.22,5643.18
5.24,5654.63
5.27,5528.91
5.4,5616.21
5.22,5882.17
5.3,6029.38
5.24,6521.7
5.31,6448.27
5.29,6813.09
5.25,6877.74
5.19,6583.48
5.39,7009
5.51,7331
5.5,7672.8
5.56,8222.6
5.52,7622.4
5.54,7945.3
5.54,7442.1
5.5,7823.1
5.52,7908.3
5.5,7906.5
5.56,8545.72
5.51,8799.81
5.49,9063.37
5.45,8899.95
5.49,8952.02
5.56,8883.29
5.54,7539.07
5.55,7842.62
5.51,8592.1
5.07,9116.55
4.83,9181.43
4.68,9358.83
4.63,9306.58
4.76,9786.16
4.81,10789.04
4.74,10559.74
4.74,10970.8
4.76,10655.15
4.99,10829.28
5.07,10336.95
5.22,10729.86
5.2,10877.81
5.42,11497.12
5.3,10940.53
5.45,10128.31
5.73,10921.92
5.85,10733.91
6.02,10522.33
6.27,10447.89
6.53,10521.98
6.54,11215.1
6.5,10650.92
6.52,10971.14
6.51,10414.49
6.51,10787.99
6.4,10887.36
5.98,10495.28
5.49,9878.78
5.31,10734.97
4.8,10911.94
4.21,10502.4
3.97,10522.81
3.77,9949.75
3.65,8847.56
3.07,9075.14
2.49,9851.56
2.09,10021.57
1.82,9920
1.73,10106.13
1.74,10403.94
1.73,9946.22
1.75,9925.25
1.75,9243.26
1.75,8736.59
1.73,8663.5
1.74,7591.93
1.75,8397.03
1.75,8896.09
1.34,8341.63
1.24,8053.81
1.24,7891.08
1.26,7992.13
1.25,8480.09
1.26,8850.26
1.26,8985.44
1.22,9233.8
1.01,9415.82
1.03,9275.06
1.01,9801.12
1.01,9782.46
1,10453.92
0.98,10488.07
1,10583.92
1.01,10357.7
1,10225.57
1,10188.45
1,10435.48
1.03,10139.71
1.26,10173.92
1.43,10080.27
1.61,10027.47
1.76,10428.02
1.93,10783.01
2.16,10489.94
2.28,10766.23
2.5,10503.76
2.63,10192.51
2.79,10467.48
3,10274.97
3.04,10640.91
3.26,10481.6
3.5,10568.7
3.62,10440.07
3.78,10805.87
4,10717.5
4.16,10864.86
4.29,10993.41
4.49,11109.32
4.59,11367.14
4.79,11168.31
4.94,11150.22
4.99,11185.68
5.24,11381.15
5.25,11679.07
5.25,12080.73
5.25,12221.93
5.25,12463.15
5.24,12621.69
5.25,12268.63
5.26,12354.35
5.26,13062.91
5.25,13627.64
5.25,13408.62
5.25,13211.99
5.26,13357.74
5.02,13895.63
4.94,13930.01
4.76,13371.72
4.49,13264.82
4.24,12650.36
3.94,12266.39
2.98,12262.89
2.61,12820.13
2.28,12638.32
1.98,11350.01
2,11378.02
2.01,11543.96
2,10850.66
1.81,9325.01
0.97,8829.04
0.39,8776.39
0.16,8000.86
0.15,7062.93
0.22,7608.92
0.18,8168.12
0.15,8500.33
0.18,8447
0.21,9171.61
0.16,9496.28
0.16,9712.28
0.15,9712.73
0.12,10344.84
0.12,10428.05
0.12,10067.33
0.11,10325.26
0.13,10856.63
0.16,11008.61
0.2,10136.63
0.2,9774.02
0.18,10465.94
0.18,10014.72
0.19,10788.05
0.19,11118.49
0.19,11006.02
0.19,11577.51
0.18,11891.93
0.17,12226.34
0.16,12319.73
0.14,12810.54
0.1,12569.79
0.09,12414.34
0.09,12143.24
0.07,11613.53
0.1,10913.38
0.08,11955.01
0.07,12045.68
0.08,12217.56
0.07,12632.91
0.08,12952.07
0.1,13212.04
0.13,13213.63
0.14,12393.45
0.16,12880.09
0.16,13008.68
0.16,13090.84
0.13,13437.13
0.14,13096.46
0.16,13025.58
0.16,13104.14
0.16,13860.58
0.14,14054.49
0.15,14578.54
0.14,14839.8
0.15,15115.57
0.11,14909.6
0.09,15499.54
0.09,14810.31
0.08,15129.67
0.08,15545.75
0.09,16086.41
0.08,16576.66
0.09,15698.85
0.07,16321.71
0.07,16457.66
0.08,16580.84
0.09,16717.17
0.09,16826.6
0.1,16563.3
0.09,17098.45
0.09,17042.9
0.09,17390.52
0.09,17828.24
0.09,17823.07
0.12,17164.95
0.11,18132.7
0.11,17776.12
0.11,17840.52
0.12,18010.68
0.12,17619.51
0.13,17689.86
0.13,16528.03
0.14,16284.7
0.14,17663.54
0.12,17719.92
0.12,17425.03
0.24,16466.3
0.34,16516.5
0.38,17685.09
0.36,17773.64
0.37,17787.2
0.37,17929.99
0.38,18432.24
0.39,18400.88
0.4,18308.15
0.4,18142.42
0.4,19123.58
0.41,19762.6
0.54,19864.09
0.65,20812.24
0.66,20663.22
0.79,20940.51
0.9,21008.65
0.91,21349.63
1.04,21891.12
1.15,21948.1
1.16,22405.09
1.15,23377.24
1.15,24272.35
1.16,24719.22
1.3,26149.39
1.41,25029.2
1.42,24103.11
1.51,24163.15
1.69,24415.84
1.7,24271.41
1.82,25415.19
1.91,25964.82
1.91,26458.31
1.95,25115.76
2.19,25538.46
2.2,23327.46
2.27,24999.67
2.4,25916
2.4,25928.68
2.41,26592.91
2.42,24815.04
2.39,26599.96
2.38,26864.27
2.4,26403.28
2.13,26916.83
2.04,27046.23
1.83,28051.41
1.55,28538.44
1.55,28256.03
1.55,25409.36
1.58,21917.16
0.65,24345.72
0.05,25383.11
0.05,25812.88
0.08,26428.32
0.09,28430.05
0.1,27781.7
0.09,26501.6
0.09,29638.64
0.09,30606.48
0.09,29982.62
0.09,30932.37
0.08,32981.55
0.07,33874.85
0.07,34529.45
0.06,34502.51
0.08,34935.47
0.1,35360.73
0.09,33843.92
0.08,35819.56
0.08,34483.72
0.08,36338.3
0.08,35131.86
0.08,33892.6
0.08,34678.35
0.2,32977.21
0.33,32990.12
0.77,30775.43
1.21,32845.13
1.68,31510.43
2.33,28725.51
2.56,29634.83
